,HCHO_vcol,NO2_vcol,O3_vcol,CLDO4_vcol
2023-12-30 12:00:00+0000,,,,
2023-12-30 13:00:00+0000,8.87E+15,1.62E+16,363.677063,718.053833
2023-12-30 14:00:00+0000,-1.69E+14,1.37E+16,362.5857544,860.2240601
2023-12-30 15:00:00+0000,1.42E+16,1.05E+16,348.0691833,748.5930786
2023-12-30 16:00:00+0000,1.42E+16,1.05E+16,348.0691833,748.5930786
2023-12-30 17:00:00+0000,,,,
2023-12-30 18:00:00+0000,5.16E+15,5.18E+15,343.6500854,721.3253174
2023-12-30 19:00:00+0000,1.34E+16,5.41E+15,341.7484131,708.9680786
2023-12-30 20:00:00+0000,5.62E+15,7.43E+15,329.6112671,826.6410522
2023-12-30 21:00:00+0000,4.31E+15,3.60E+15,335.243103,601.885376
2023-12-30 22:00:00+0000,4.31E+15,3.60E+15,335.243103,601.885376
