,HCHO_vcol,NO2_vcol,O3_vcol,CLDO4_vcol
2024-10-15 12:00:00+0000,-2.86907E+15,1.66937E+15,351.3112183,210.8002167
2024-10-15 13:00:00+0000,1.89941E+15,5.54762E+15,333.2926331,608.690918
2024-10-15 14:00:00+0000,6.59284E+15,8.64045E+15,333.8671875,817.3338013
2024-10-15 15:00:00+0000,2.94121E+15,6.68295E+15,333.9658203,873.0060425
2024-10-15 16:00:00+0000,1.30E+16,8.04771E+15,335.1683044,707.5592651
2024-10-15 17:00:00+0000,1.28E+16,5.64637E+15,333.3357544,709.7145996
2024-10-15 18:00:00+0000,1.41E+16,4.59892E+15,331.5776367,695.6989746
2024-10-15 19:00:00+0000,8.90033E+15,6.50345E+15,332.2207642,748.1178589
2024-10-15 20:00:00+0000,7.96612E+15,5.52791E+15,327.4186401,733.4979858
2024-10-15 21:00:00+0000,9.09518E+15,6.28063E+15,325.5003357,577.177002
2024-10-15 22:00:00+0000,,,,
