datetime,HCHO_vcol,NO2_vcol,O3_vcol,CLDO4_vcol,hour_utc
2024-09-01 00:00:00+00:00,0,0,0,0,0
2024-09-01 01:00:00+00:00,0,0,0,0,1
2024-09-01 02:00:00+00:00,0,0,0,0,2
2024-09-01 03:00:00+00:00,0,0,0,0,3
2024-09-01 04:00:00+00:00,0,0,0,0,4
2024-09-01 05:00:00+00:00,6.60186E+15,6.26634E+15,321.574475,799.3123526,5
2024-09-01 06:00:00+00:00,3.65953E+15,4.3203E+15,343.5157443,664.279158,6
2024-09-01 07:00:00+00:00,6.09275E+15,4.47392E+15,335.955174,597.1501131,7
2024-09-01 08:00:00+00:00,3.21129E+15,4.90236E+15,352.5333102,776.560952,8
2024-09-01 09:00:00+00:00,7.32024E+15,6.6836E+15,338.2613344,821.2539768,9
2024-09-01 10:00:00+00:00,5.84655E+15,2.91986E+15,347.4419524,852.3618398,10
2024-09-01 11:00:00+00:00,8.82625E+15,4.55221E+15,380.6035811,849.6122217,11
2024-09-01 12:00:00+00:00,1.06E+16,6.52429E+15,343.949564,756.4399781,12
2024-09-01 13:00:00+00:00,1.26E+16,3.2142E+15,359.8753277,892.8006746,13
2024-09-01 14:00:00+00:00,1.04E+16,5.77692E+15,376.298716,884.6721928,14
2024-09-01 15:00:00+00:00,6.15501E+15,5.01481E+15,362.9450883,717.8302132,15
2024-09-01 16:00:00+00:00,1.10E+16,5.48712E+15,358.3302504,772.8152002,16
2024-09-01 17:00:00+00:00,4.68469E+15,5.39623E+15,360.107042,718.2514169,17
2024-09-01 18:00:00+00:00,9.24349E+15,4.13827E+15,329.1725327,812.3836255,18
2024-09-01 19:00:00+00:00,5.59038E+15,5.75482E+15,338.6992989,636.7247285,19
2024-09-01 20:00:00+00:00,8.07521E+15,4.72039E+15,360.0807028,758.5165666,20
2024-09-01 21:00:00+00:00,4.89553E+15,3.74445E+15,331.1121022,629.3599035,21
2024-09-01 22:00:00+00:00,0,0,0,0,22
2024-09-01 23:00:00+00:00,0,0,0,0,23
2024-09-02 00:00:00+00:00,0,0,0,0,0
2024-09-02 01:00:00+00:00,0,0,0,0,1
2024-09-02 02:00:00+00:00,0,0,0,0,2
2024-09-02 03:00:00+00:00,0,0,0,0,3
2024-09-02 04:00:00+00:00,0,0,0,0,4
2024-09-02 05:00:00+00:00,3.1826E+15,4.18559E+15,350.3124015,612.2305483,5
2024-09-02 06:00:00+00:00,5.38083E+15,4.43034E+15,335.6266428,794.892937,6
2024-09-02 07:00:00+00:00,9.42938E+15,5.31721E+15,346.8019612,800.1718907,7
2024-09-02 08:00:00+00:00,7.82915E+15,5.10432E+15,332.7278613,718.1972839,8
2024-09-02 09:00:00+00:00,5.65423E+15,6.16106E+15,355.3598851,823.8135016,9
2024-09-02 10:00:00+00:00,6.43956E+15,7.46046E+15,367.5841384,791.87246,10
2024-09-02 11:00:00+00:00,6.03308E+15,4.71435E+15,368.6176886,844.3388933,11
2024-09-02 12:00:00+00:00,9.57259E+15,3.96168E+15,362.740088,926.9399338,12
2024-09-02 13:00:00+00:00,7.67353E+15,4.15917E+15,362.2929756,841.1123042,13
2024-09-02 14:00:00+00:00,4.72847E+15,2.13126E+15,349.122958,825.9010968,14
2024-09-02 15:00:00+00:00,9.34369E+15,3.62847E+15,374.4111454,793.8350059,15
2024-09-02 16:00:00+00:00,7.75615E+15,4.34432E+15,359.2807147,831.8818667,16
2024-09-02 17:00:00+00:00,8.77458E+15,3.98541E+15,371.3488734,702.0093587,17
2024-09-02 18:00:00+00:00,7.01673E+15,5.31128E+15,340.5010951,745.4927647,18
2024-09-02 19:00:00+00:00,4.94653E+15,6.05034E+15,351.6299252,816.6185536,19
2024-09-02 20:00:00+00:00,6.40712E+15,4.83108E+15,338.9603496,720.478752,20
2024-09-02 21:00:00+00:00,5.55757E+15,7.01526E+15,352.7233427,676.953672,21
2024-09-02 22:00:00+00:00,0,0,0,0,22
2024-09-02 23:00:00+00:00,0,0,0,0,23
2024-09-03 00:00:00+00:00,0,0,0,0,0
2024-09-03 01:00:00+00:00,0,0,0,0,1
2024-09-03 02:00:00+00:00,0,0,0,0,2
2024-09-03 03:00:00+00:00,0,0,0,0,3
2024-09-03 04:00:00+00:00,0,0,0,0,4
2024-09-03 05:00:00+00:00,4.9602E+15,2.94892E+15,324.2220237,824.8165566,5
2024-09-03 06:00:00+00:00,7.4431E+15,5.61471E+15,326.7775978,750.2187093,6
2024-09-03 07:00:00+00:00,3.96418E+15,4.9156E+15,336.0609649,747.1514367,7
2024-09-03 08:00:00+00:00,8.82074E+15,3.83451E+15,334.0849616,700.8946578,8
2024-09-03 09:00:00+00:00,4.599E+15,5.87932E+15,330.747452,851.4635297,9
2024-09-03 10:00:00+00:00,7.13834E+15,5.22824E+15,354.9669483,786.6459187,10
2024-09-03 11:00:00+00:00,1.05E+16,4.34389E+15,361.4454527,809.3437272,11
2024-09-03 12:00:00+00:00,8.9188E+15,4.47598E+15,360.5253942,760.6956819,12
2024-09-03 13:00:00+00:00,9.34915E+15,3.69514E+15,366.3560014,680.8199363,13
2024-09-03 14:00:00+00:00,4.59749E+15,4.38016E+15,380.2669143,869.3945226,14
2024-09-03 15:00:00+00:00,6.37196E+15,2.41382E+15,367.5662445,797.8561296,15
2024-09-03 16:00:00+00:00,9.07531E+15,4.69732E+15,358.1601271,973.8934031,16
2024-09-03 17:00:00+00:00,7.30055E+15,4.93523E+15,353.8226748,733.4930429,17
2024-09-03 18:00:00+00:00,8.88969E+15,5.19814E+15,358.2720011,767.0761818,18
2024-09-03 19:00:00+00:00,8.68583E+15,6.56622E+15,334.7816793,653.0592263,19
2024-09-03 20:00:00+00:00,8.34469E+15,4.83467E+15,329.4013956,674.3317398,20
2024-09-03 21:00:00+00:00,7.45697E+15,3.31488E+15,329.7507883,659.7875656,21
2024-09-03 22:00:00+00:00,0,0,0,0,22
2024-09-03 23:00:00+00:00,0,0,0,0,23
2024-09-04 00:00:00+00:00,0,0,0,0,0
2024-09-04 01:00:00+00:00,0,0,0,0,1
2024-09-04 02:00:00+00:00,0,0,0,0,2
2024-09-04 03:00:00+00:00,0,0,0,0,3
2024-09-04 04:00:00+00:00,0,0,0,0,4
2024-09-04 05:00:00+00:00,5.96169E+15,4.42074E+15,342.5354499,770.3367708,5
2024-09-04 06:00:00+00:00,4.09758E+15,5.96241E+15,348.2097851,742.1733187,6
2024-09-04 07:00:00+00:00,5.88556E+15,4.74779E+15,338.4132144,811.6490804,7
2024-09-04 08:00:00+00:00,5.17258E+15,3.94201E+15,339.1236461,700.5773263,8
2024-09-04 09:00:00+00:00,8.46205E+15,5.09416E+15,329.1323121,780.6375413,9
2024-09-04 10:00:00+00:00,7.26369E+15,5.71697E+15,350.0316091,936.7856802,10
2024-09-04 11:00:00+00:00,6.76556E+15,4.49449E+15,354.0201699,803.8487456,11
2024-09-04 12:00:00+00:00,8.55348E+15,4.74954E+15,372.2282068,721.4290956,12
2024-09-04 13:00:00+00:00,7.00215E+15,3.56583E+15,369.6714119,798.9775929,13
2024-09-04 14:00:00+00:00,3.53916E+15,4.10338E+15,359.7755153,826.6710158,14
2024-09-04 15:00:00+00:00,5.51212E+15,5.98137E+15,356.0617814,790.9363212,15
2024-09-04 16:00:00+00:00,5.62767E+15,3.50304E+15,344.7155071,762.7214163,16
2024-09-04 17:00:00+00:00,5.21287E+15,7.78234E+15,334.997482,699.9593949,17
2024-09-04 18:00:00+00:00,6.02846E+15,6.6626E+15,347.20088,790.5578036,18
2024-09-04 19:00:00+00:00,4.47718E+15,6.03011E+15,365.6065107,674.026732,19
2024-09-04 20:00:00+00:00,6.60455E+15,5.99745E+15,319.8223805,678.9286789,20
2024-09-04 21:00:00+00:00,7.2405E+15,5.31334E+15,326.2389228,735.482908,21
